n_days_ahead,the_nth_day,MAE,sMAPE,,
7,34,328.05698,0.20339,305.51321,0.17792
7,35,267.70685,0.18888,303.71292,0.17844
7,36,367.71454,0.20501,306.62207,0.17965
7,37,287.92331,0.16855,305.80908,0.17917
7,38,352.36197,0.20217,307.74881,0.18012
7,39,319.16663,0.18127,308.20551,0.18017
7,40,378.29996,0.21477,310.90143,0.1815
7,41,363.72104,0.19338,312.8577,0.18194
7,42,412.0972,0.26078,316.40201,0.18476
7,43,312.58173,0.16563,316.27026,0.1841
7,44,329.77182,0.19642,316.72031,0.18451
7,45,305.44519,0.18866,316.3566,0.18464
7,46,297.0329,0.2012,315.75275,0.18516
7,47,302.60052,0.17378,315.35419,0.18481
7,48,378.33704,0.21439,317.20663,0.18568
7,49,345.49478,0.18912,318.01486,0.18578
7,50,332.1424,0.20505,318.40732,0.18632
7,51,219.57822,0.1639,315.73624,0.18571
7,52,281.3638,0.20442,314.83173,0.1862
7,53,283.44986,0.18552,314.02707,0.18619
7,54,261.11942,0.20835,312.70435,0.18674
7,55,219.86261,0.17579,310.43991,0.18647
7,56,260.21762,0.23827,309.24414,0.18771
7,57,236.46298,0.18949,307.55154,0.18775
7,58,256.33722,0.20421,306.38757,0.18812
7,59,191.31107,0.15739,303.83035,0.18744
7,60,208.21144,0.19763,301.75168,0.18766
7,61,256.11047,0.1971,300.78058,0.18786
7,62,234.71803,0.20839,299.40427,0.18829
7,63,231.65009,0.20973,298.02151,0.18873
7,64,212.02072,0.21512,296.30151,0.18925
7,65,191.81712,0.19268,294.25281,0.18932
7,66,192.92998,0.20947,292.30426,0.18971
7,67,176.1143,0.19948,290.112,0.18989
7,68,166.31169,0.20448,287.8194,0.19016
7,69,167.92963,0.19734,285.63959,0.19029
7,70,182.30203,0.21493,283.79428,0.19073
7,71,184.1423,0.19382,282.04602,0.19079
7,72,175.57126,0.22348,280.21024,0.19135
7,73,177.46068,0.22878,278.46872,0.19199
7,74,239.58432,0.28274,277.82065,0.1935
7,75,186.20503,0.24055,276.31876,0.19427
7,76,164.54544,0.23604,274.51593,0.19494
7,77,152.42262,0.19442,272.57794,0.19494
7,78,182.50255,0.24246,271.17053,0.19568
7,79,157.53038,0.22446,269.42224,0.19612
7,80,196.19365,0.24551,268.31271,0.19687
7,81,196.69955,0.23471,267.24384,0.19743
7,82,231.35567,0.269,266.71606,0.19849
7,83,201.05937,0.2256,265.76453,0.19888
7,84,202.82674,0.23569,264.86539,0.19941
7,85,179.58295,0.21698,263.66422,0.19965
7,86,193.98056,0.23135,262.69644,0.20009
7,87,176.13376,0.227,261.51065,0.20046
7,88,199.29913,0.2428,260.66995,0.20103
7,89,208.9593,0.24557,259.98047,0.20163
7,90,207.69424,0.24264,259.29248,0.20217
7,91,215.00185,0.23821,258.71729,0.20264
7,92,194.25766,0.24737,257.89087,0.20321
7,93,181.12366,0.21752,256.91913,0.20339
7,94,187.09822,0.22434,256.04639,0.20365
7,95,197.04695,0.23583,255.31799,0.20405
7,96,201.26918,0.23374,254.65887,0.20441
7,97,190.03185,0.22542,253.88022,0.20466
7,98,175.5955,0.21344,252.94827,0.20477
7,99,191.60178,0.2186,252.22653,0.20493
7,100,182.57896,0.21656,251.41667,0.20507
7,101,193.42255,0.21012,250.75006,0.20512
7,102,225.86237,0.21282,250.46729,0.20521
7,103,217.46634,0.22159,250.0965,0.2054
7,104,210.05403,0.21637,249.65158,0.20552
7,105,196.50793,0.22456,249.06758,0.20573
7,106,200.00497,0.22633,248.5343,0.20595
7,107,175.64491,0.20389,247.75055,0.20593
7,108,184.63557,0.25124,247.0791,0.20641
7,109,138.00778,0.23426,245.93098,0.2067
7,110,183.78206,0.27474,245.28357,0.20741
7,111,194.53098,0.25575,244.76035,0.20791
7,112,240.4935,0.30974,244.71681,0.20895
14,15,457.1972,0.18455,457.1972,0.18455
14,16,460.30206,0.18313,458.74963,0.18384
14,17,439.00626,0.1761,452.16849,0.18126
14,18,379.81116,0.22446,434.07916,0.19206
14,19,384.3876,0.19738,424.14087,0.19312
14,20,383.50293,0.1956,417.36789,0.19354
14,21,372.37463,0.19167,410.94028,0.19327
14,22,441.5228,0.23306,414.76306,0.19824
14,23,371.70377,0.19399,409.9787,0.19777
14,24,351.71313,0.21374,404.15216,0.19937
14,25,360.51154,0.22956,400.18484,0.20211
14,26,372.25156,0.26581,397.85706,0.20742
14,27,362.42487,0.23483,395.1315,0.20953
14,28,341.49072,0.22298,391.30002,0.21049
14,29,432.56451,0.22074,394.05096,0.21117
14,30,409.99039,0.22469,395.04721,0.21202
14,31,376.77637,0.20951,393.97244,0.21187
14,32,391.15326,0.20888,393.81583,0.21171
14,33,374.27756,0.20497,392.78751,0.21135
14,34,392.30103,0.24613,392.76318,0.21309
14,35,380.08673,0.26203,392.15955,0.21542
14,36,432.01373,0.24278,393.9711,0.21666
14,37,463.73148,0.26766,397.00415,0.21888
14,38,494.40854,0.27688,401.06265,0.2213
14,39,453.47876,0.30295,403.1593,0.22456
14,40,436.45074,0.27215,404.43976,0.22639
14,41,444.63443,0.34716,405.92847,0.23087
14,42,439.47104,0.25987,407.1264,0.2319
14,43,404.50485,0.26155,407.03601,0.23293
14,44,401.66104,0.26259,406.85684,0.23391
14,45,394.12988,0.2844,406.44629,0.23554
14,46,354.81583,0.25894,404.83282,0.23627
14,47,401.00583,0.34453,404.71686,0.23955
14,48,436.02649,0.28344,405.63773,0.24085
14,49,440.99756,0.27666,406.64798,0.24187
14,50,372.95819,0.25475,405.71216,0.24223
14,51,309.2475,0.26831,403.10498,0.24293
14,52,302.11859,0.25598,400.44745,0.24327
14,53,303.98172,0.2637,397.97397,0.2438
14,54,315.27957,0.26527,395.90665,0.24433
14,55,276.98856,0.30116,393.0062,0.24572
14,56,294.86133,0.26993,390.6694,0.2463
14,57,281.28714,0.29904,388.12564,0.24752
14,58,334.6926,0.34442,386.91125,0.24973
14,59,319.4679,0.26991,385.41254,0.25017
14,60,301.72287,0.30349,383.5932,0.25133
14,61,302.99591,0.2871,381.87836,0.25209
14,62,285.37061,0.28724,379.86777,0.25283
14,63,283.14578,0.28488,377.89386,0.25348
14,64,284.84598,0.23932,376.0329,0.2532
14,65,242.37047,0.29307,373.41208,0.25398
14,66,253.62779,0.29867,371.10852,0.25484
14,67,186.65623,0.25908,367.62827,0.25492
14,68,223.84689,0.29201,364.96567,0.25561
14,69,238.71231,0.33026,362.67017,0.25696
14,70,261.64182,0.3394,360.86606,0.25844
14,71,231.00266,0.3166,358.58777,0.25946
14,72,241.30287,0.32738,356.56561,0.26063
14,73,252.4519,0.33103,354.80093,0.26182
14,74,249.69092,0.32147,353.04913,0.26281
14,75,246.79449,0.37385,351.30725,0.26463
14,76,231.94011,0.31013,349.38196,0.26537
14,77,243.70293,0.32902,347.70453,0.26638
14,78,291.0144,0.33983,346.81873,0.26753
14,79,269.19089,0.3302,345.62445,0.26849
14,80,283.21411,0.35681,344.67886,0.26983
14,81,264.21689,0.30657,343.47794,0.27038
14,82,289.20642,0.32349,342.67984,0.27116
14,83,290.0571,0.32821,341.91718,0.27199
14,84,282.70996,0.32628,341.07138,0.27276
14,85,246.5497,0.3122,339.74008,0.27332
14,86,264.43121,0.30106,338.69412,0.2737
14,87,279.86267,0.30893,337.88821,0.27418
14,88,305.01251,0.3416,337.44394,0.2751
14,89,325.44904,0.3312,337.284,0.27584
14,90,320.62863,0.32926,337.06485,0.27655
14,91,310.58469,0.29046,336.72095,0.27673
14,92,322.63733,0.27989,336.54037,0.27677
14,93,325.3833,0.30147,336.39914,0.27708
14,94,330.17673,0.28212,336.32138,0.27714
14,95,376.50012,0.30031,336.81741,0.27743
14,96,354.61447,0.29374,337.03445,0.27763
14,97,330.36551,0.28868,336.9541,0.27776
14,98,319.03525,0.26913,336.74078,0.27766
14,99,316.81992,0.25995,336.50644,0.27745
14,100,317.42966,0.27087,336.28461,0.27737
14,101,305.29205,0.2695,335.92838,0.27728
14,102,263.95663,0.28404,335.1105,0.27736
14,103,187.9026,0.28812,333.45648,0.27748
14,104,197.02577,0.32174,331.94058,0.27797
14,105,192.32536,0.35562,330.40637,0.27883
