n_days_ahead,the_nth_day,MAE,sMAPE
28,77,299.8031006,0.24465543
28,78,311.041687,0.253730774
28,79,337.5671082,0.282058895
28,80,351.5699463,0.280309737
28,81,443.1198425,0.337656826
28,82,409.8519287,0.284321934
28,83,407.8733521,0.332328171
28,84,381.2748413,0.277305573
28,85,430.6829224,0.353422642
28,86,431.81073,0.335066766
28,87,449.5448914,0.360204011
28,88,364.2163391,0.320777625
28,89,318.8526611,0.348537862
28,90,302.5869446,0.32541576
28,91,323.6502991,0.359743714
