From_FIPS,To_FIPS,Count
01035,1121,5028
01039,1003,5028
01039,1013,13266
01039,10030,4812
01039,12073,3972
01039,12091,19296
01039,22087,4824
01039,47065,3972
01041,1013,4824
01041,1051,5028
01041,1069,5028
01041,1101,4824
01041,12091,4824
01043,1015,4824
01043,1043,153162
01043,1049,4824
01043,1051,5028
01043,1071,10056
01043,1073,26532
01043,1077,3972
01043,1095,4824
01043,1115,4824
01043,1121,5028
01043,1125,9648
01043,5051,4824
01043,10030,4812
01043,10950,33684
01043,11270,7218
01043,13051,5028
01043,13285,3972
01043,22103,4824
01043,47155,9636
01045,1045,5028
01045,1069,10056
01045,12091,4824
01045,45063,5028
01047,1047,44622
01047,1091,5028
01047,1115,4824
01047,1131,3972
01047,11250,4812
01049,1049,84420
01049,1071,247629
01049,1073,4824
01049,1095,8796
01049,1119,5028
01049,1125,4824
01049,5115,5028
01049,10030,7218
01049,10950,16842
01049,11030,4812
01049,31055,5028
01049,47065,16728
01049,47155,19476
01051,1015,7236
01051,1051,37710
01051,1073,4824
01051,1101,30699
01051,1113,4824
01051,1115,4824
01051,10030,9624
01051,11170,4812
01051,12031,4812
01051,17197,4824
01051,42115,3972
01051,47037,4812
01053,1003,7944
01053,12091,4824
01053,12113,4812
01053,45091,3972
01055,1015,29148
01055,1043,6030
01055,1049,4824
01055,1071,10056
01055,1073,9648
01055,1081,4824
01055,1115,12060
01055,1125,19296
01055,9003,3972
01055,11170,4812
01055,13115,5028
01055,13121,4824
01055,39009,4824
01055,40050,4812
01055,47155,4824
01055,48277,3972
01055,50850,4812
01057,1049,4824
01057,1051,5028
01057,1057,27804
01057,1125,26532
01057,11270,4812
01057,22105,6030
01057,47155,4824
01059,1059,27654
01059,1071,5028
01059,1115,4824
01059,1125,4824
01059,17089,3972
01059,22105,4812
01059,28141,5028
01061,1069,15084
01061,12033,4824
01061,12091,10854
01063,1091,52794
01063,1119,5028
01063,1125,9648
01063,11250,4812
01065,1091,80448
01065,1125,18090
01065,11250,12030
01067,1069,14028
01069,1051,5028
01069,1069,105789
01069,1125,14472
01069,10730,4812
01069,12005,3972
01069,12073,3972
01069,13277,3972
01069,18085,3972
01069,18117,4812
01069,22105,4812
01069,47155,4812
01071,1049,10854
01071,1071,1556166
01071,1095,3972
01071,11030,4812
01071,22089,3972
01071,47037,3972
01071,47065,29790
01071,47155,14664
01073,1003,5028
01073,1015,14472
01073,1043,20502
01073,1049,4824
01073,1051,5028
01073,1073,1339509
01073,1081,4824
01073,1091,10056
01073,1097,4824
01073,1101,14676
01073,1115,1326600
01073,1119,16341
01073,1125,176430
01073,1131,3972
01073,5119,9648
01073,6037,4824
01073,10030,33684
01073,10730,519696
01073,11150,9624
01073,11170,93834
01073,12005,3972
01073,12083,3972
01073,12086,4812
01073,12091,4824
01073,13021,3972
01073,13075,4812
01073,13115,4824
01073,13139,5028
01073,17055,11313
01073,17161,4812
01073,18081,4812
01073,24003,9624
01073,26121,5028
01073,26125,4824
01073,28047,3972
01073,37155,4812
01073,42027,4824
01073,47037,8784
01073,47155,9840
01075,1057,13902
01075,1081,4824
01075,1119,5028
01075,1125,14472
01075,11170,4812
01075,28087,4812
01075,47155,4824
01077,1071,10056
01077,1077,216474
01077,1125,9648
01077,5119,4824
01077,10030,4812
01077,10770,20451
01077,11170,4812
01077,12091,3972
01077,13121,4824
01077,18003,3972
01077,47155,15639
01077,47157,5028
01077,51190,4812
01079,1071,10056
01079,10030,4812
01079,11030,4812
01079,17197,7236
01079,47155,4824
01081,1071,5028
01081,1081,30150
01081,1113,27240
01081,1115,28944
01081,1125,37386
01081,8041,4824
01081,10030,9624
01081,10810,44511
01081,11170,25263
01081,13051,4812
01081,13145,3972
01081,13175,5028
01081,13277,6015
01081,13285,13620
01081,18113,4812
01081,37173,10056
01081,47009,5028
01081,48029,3972
01083,1051,5028
01083,1071,17598
01083,1081,4824
01083,1089,9648
01083,1091,5028
01083,1115,4824
01083,1119,5028
01083,1125,6030
01083,5037,5028
01083,13051,3972
01083,25025,3972
01083,47009,5028
01083,47037,4824
01083,47141,3972
01083,47155,4824
01083,47157,7542
01085,1013,14472
01087,1101,5028
01087,47157,3972
01089,1043,4824
01089,1049,14472
01089,1051,18855
01089,1071,253914
01089,1073,4824
01089,1081,4824
01089,1089,173277
01089,1095,4824
01089,1101,5028
01089,1115,4824
01089,1119,15084
01089,1125,28944
01089,6001,4824
01089,10030,9624
01089,10950,4812
01089,11170,9624
01089,13021,3972
01089,13051,4812
01089,13089,4824
01089,18117,4812
01089,22105,4812
01089,22109,6030
01089,36055,4812
01089,37173,4812
01089,45079,5028
01089,47037,8784
01089,47093,4812
01089,47155,19464
01089,47187,5028
01089,48453,3972
01091,1073,4824
01091,1091,584505
01091,1125,9648
01091,1131,11916
01091,11250,6015
01093,1057,7944
01093,1071,5028
01093,1081,4824
01093,1115,10854
01093,1125,14472
01093,11270,4812
01093,28095,5028
01093,48201,4812
01095,1043,4824
01095,1059,5028
01095,1071,177237
01095,1095,52848
01095,1115,9648
01095,1125,4824
01095,10950,175638
01095,13089,4824
01095,37053,4812
01095,47065,3972
01095,47155,12048
01095,48201,3972
01097,1003,3972
01097,1043,4824
01097,1051,10056
01097,1059,5028
01097,1091,5028
01097,1097,1210038
01097,1101,4824
01097,1119,5028
01097,1125,53064
01097,1131,3972
01097,10030,58947
01097,10970,38496
